"ano","regiao","uf","municipio","gestao 1","gestao 2","gestao 3","gestao 4","gestao 5","gestao 6"
"2017","Norte","AM","1300680",22.2,15.6,22.2,11.1,28.9,0
"2017","Norte","AM","1300680",0,66.7,0,0,33.3,0
"2017","Norte","AM","1300680",23.8,11.9,23.8,11.9,28.6,0
"2017","Norte","AM","1300706",7.3,40.6,49,2.1,1,0
"2017","Norte","AM","1300706",0,50,30,10,10,0
"2017","Norte","AM","1300706",8.1,39.5,51.2,1.2,0,0
"2017","Norte","AM","1300805",51.7,16.1,6.7,8.7,14.8,2
"2017","Norte","AM","1300805",12.5,37.5,12.5,12.5,12.5,12.5
"2017","Norte","AM","1300805",53.9,14.9,6.4,8.5,14.9,1.4
"2017","Norte","AM","1300839",43.2,15.9,25,6.8,6.8,2.3
"2017","Norte","AM","1300839",0,50,0,0,50,0
"2017","Norte","AM","1300839",45.2,14.3,26.2,7.1,4.8,2.4
"2017","Norte","AM","1300904",14.3,66.7,2.4,14.3,2.3,0
"2017","Norte","AM","1300904",0,100,0,0,0,0
"2017","Norte","AM","1300904",15.8,63.2,2.6,15.8,2.6,0
"2017","Norte","AM","1301001",2.2,43.5,37,8.7,8.6,0
"2017","Norte","AM","1301001",0,69.2,7.7,7.7,15.4,0
"2017","Norte","AM","1301001",3,33.3,48.5,9.1,6.1,0
"2017","Norte","AM","1301100",22,12.2,58.5,2.4,4.9,0
"2017","Norte","AM","1301100",0,25,50,25,0,0
"2017","Norte","AM","1301100",24.3,10.8,59.5,0,5.4,0
"2017","Norte","AM","1301159",41.3,21.7,13,8.7,13,2.3
"2017","Norte","AM","1301159",0,66.7,0,0,0,33.3
"2017","Norte","AM","1301159",44.2,18.6,14,9.3,13.9,0
"2017","Norte","AM","1301209",28.8,8.3,59.8,0.8,2.3,0
"2017","Norte","AM","1301209",0,54.5,18.2,9.1,18.2,0
"2017","Norte","AM","1301209",31.4,4.1,63.6,0,0.9,0
"2017","Norte","AM","1301308",19.6,17.9,55.4,3.6,3.5,0
"2017","Norte","AM","1301308",0,85.7,0,14.3,0,0
"2017","Norte","AM","1301308",22.4,8.2,63.3,2,4.1,0
"2017","Norte","AM","1301407",2.6,35.9,46.2,5.1,10.2,0
"2017","Norte","AM","1301407",0,50,7.1,14.3,28.6,0
"2017","Norte","AM","1301407",4,28,68,0,0,0
"2017","Norte","AM","1301506",43.2,29.5,20.5,2.3,2.3,2.2
"2017","Norte","AM","1301506",0,71.4,0,0,14.3,14.3
"2017","Norte","AM","1301506",51.4,21.6,24.3,2.7,0,0
"2017","Norte","AM","1301605",1.9,30.8,26.9,9.6,26.9,3.9
"2017","Norte","AM","1301605",0,25,0,25,0,50
"2017","Norte","AM","1301605",2.1,31.3,29.2,8.3,29.1,0
"2017","Norte","AM","1301654",84.2,15.8,0,0,0,0
"2017","Norte","AM","1301654",0,100,0,0,0,0
"2017","Norte","AM","1301654",94.1,5.9,0,0,0,0
