"ano","regiao","uf","municipio","salario_medio","salario_medio_pad"
"2017","Norte","RR","1400308",2074.453,2514.917
"2017","Norte","RR","1400407",1879.744,1808.406
"2017","Norte","RR","1400407",2272.682,2156.705
"2017","Norte","RR","1400407",1618.523,1571.499
"2017","Norte","RR","1400456",2417.433,3671.788
"2017","Norte","RR","1400456",2616.125,4043.083
"2017","Norte","RR","1400456",2064.775,3043.284
"2017","Norte","RR","1400472",2376.637,2264.032
"2017","Norte","RR","1400472",2409.004,2283.924
"2017","Norte","RR","1400472",2272.276,2198.579
"2017","Norte","RR","1400506",2938.27,4499.19
"2017","Norte","RR","1400506",2991.794,4546.177
"2017","Norte","RR","1400506",2639.244,4222.791
"2017","Norte","RR","1400605",2684.287,2936.11
"2017","Norte","RR","1400605",2653.084,2871.589
"2017","Norte","RR","1400605",2719.948,3011.546
"2017","Norte","RR","1400704",1839.142,2527.871
"2017","Norte","RR","1400704",2001.151,2279.792
"2017","Norte","RR","1400704",1815.332,2573.237
"2017","Norte","PA","1500107",2605.964,3037.901
"2017","Norte","PA","1500107",2749.369,3131.549
"2017","Norte","PA","1500107",2294.931,2818.865
"2017","Norte","PA","1500131",2417.435,2417.435
"2017","Norte","PA","1500131",2646.393,2646.393
"2017","Norte","PA","1500131",1927.449,1927.449
"2017","Norte","PA","1500206",3932.085,4172.912
"2017","Norte","PA","1500206",4147.013,4341.538
"2017","Norte","PA","1500206",3535.036,3848.935
"2017","Norte","PA","1500305",2571.92,2571.92
"2017","Norte","PA","1500305",2765.68,2765.68
"2017","Norte","PA","1500305",2110.653,2110.653
"2017","Norte","PA","1500347",3270.476,4294.479
"2017","Norte","PA","1500347",3662.025,4973.187
"2017","Norte","PA","1500347",2076.692,2477.016
"2017","Norte","PA","1500404",2567.76,2568.582
"2017","Norte","PA","1500404",2704.089,2704.089
"2017","Norte","PA","1500404",2338.051,2340.062
"2017","Norte","PA","1500503",3726.69,4162.054
"2017","Norte","PA","1500503",4119.571,4210.638
"2017","Norte","PA","1500503",3336.826,4104.041
"2017","Norte","PA","1500602",3671.325,3337.831
"2017","Norte","PA","1500602",3768.114,3425.915
"2017","Norte","PA","1500602",3371.271,3064.792
"2017","Norte","PA","1500701",2926.509,3391.665
"2017","Norte","PA","1500701",3772.07,4128.61
"2017","Norte","PA","1500701",2321.411,2808.697
"2017","Norte","PA","1500800",3225.401,5123.722
"2017","Norte","PA","1500800",3250.786,5199.277
"2017","Norte","PA","1500800",2774.108,3933.063
"2017","Norte","PA","1500859",2976.89,5836.031
"2017","Norte","PA","1500859",3732.453,7273.401
"2017","Norte","PA","1500859",1809.817,3581.413
"2017","Norte","PA","1500909",NA,NA
"2017","Norte","PA","1500909",NA,NA
"2017","Norte","PA","1500909",NA,NA
"2017","Norte","PA","1500958",3415.891,3415.891
"2017","Norte","PA","1500958",3770.219,3770.219
"2017","Norte","PA","1500958",2997.974,2997.974
"2017","Norte","PA","1501006",NA,NA
"2017","Norte","PA","1501006",NA,NA
"2017","Norte","PA","1501006",NA,NA
"2017","Norte","PA","1501105",NA,NA
"2017","Norte","PA","1501105",NA,NA
"2017","Norte","PA","1501105",NA,NA
"2017","Norte","PA","1501204",2764.573,3822.214
"2017","Norte","PA","1501204",3164.893,4377.594
"2017","Norte","PA","1501204",2286.471,3159.56
"2017","Norte","PA","1501253",2940.769,3278.677
"2017","Norte","PA","1501253",2828.003,3155.018
"2017","Norte","PA","1501253",NA,NA
"2017","Norte","PA","1501303",3614.408,7168.42
"2017","Norte","PA","1501303",3709.064,7364.438
"2017","Norte","PA","1501303",3108.911,6129.034
"2017","Norte","PA","1501402",5323.596,6343.43
"2017","Norte","PA","1501402",5286.013,6330.461
"2017","Norte","PA","1501402",5968.865,6547.373
"2017","Norte","PA","1501451",2812.974,2811.599
"2017","Norte","PA","1501451",3138.874,3138.874
"2017","Norte","PA","1501451",1652.759,1649.081
"2017","Norte","PA","1501501",2633.347,5171.945
"2017","Norte","PA","1501501",2695.278,5331.512
"2017","Norte","PA","1501501",2328.579,4418.667
"2017","Norte","PA","1501576",3189.369,2899.427
"2017","Norte","PA","1501576",3309.326,3008.478
"2017","Norte","PA","1501576",2541.254,2310.231
"2017","Norte","PA","1501600",2337.281,2124.801
"2017","Norte","PA","1501600",2370.419,2154.926
"2017","Norte","PA","1501600",2311.685,2101.532
"2017","Norte","PA","1501709",4135.955,7848.179
"2017","Norte","PA","1501709",4212.704,7947.194
"2017","Norte","PA","1501709",3836.131,7449.975
"2017","Norte","PA","1501725",2286.11,2952.984
"2017","Norte","PA","1501725",2671.725,3086.949
"2017","Norte","PA","1501725",1945.224,2805.175
"2017","Norte","PA","1501758",2081.517,3109.834
"2017","Norte","PA","1501758",2276.704,3313.342
"2017","Norte","PA","1501758",1729.843,2714.478
"2017","Norte","PA","1501782",3610.063,13983.27
"2017","Norte","PA","1501782",3923.281,15092.11
"2017","Norte","PA","1501782",2176.817,8707.269
"2017","Norte","PA","1501808",4206.429,8384.406
"2017","Norte","PA","1501808",4528.433,9008.272
"2017","Norte","PA","1501808",3657.459,7315.047
"2017","Norte","PA","1501907",2517.121,3476.111
"2017","Norte","PA","1501907",2816.824,3792.028
"2017","Norte","PA","1501907",1786.731,2633.247
"2017","Norte","PA","1501956",2532.923,3295.55
"2017","Norte","PA","1501956",2509.309,3290.692
"2017","Norte","PA","1501956",2613.881,3311.641
"2017","Norte","PA","1502004",NA,NA
"2017","Norte","PA","1502004",NA,NA
"2017","Norte","PA","1502004",NA,NA
"2017","Norte","PA","1502103",3401.806,3806.186
"2017","Norte","PA","1502103",3444.492,3922.2
"2017","Norte","PA","1502103",3324.914,3607.08
"2017","Norte","PA","1502152",3809.339,7958
"2017","Norte","PA","1502152",3809.016,7966.034
"2017","Norte","PA","1502152",3851.124,7050.532
"2017","Norte","PA","1502202",2841.665,4478.054
"2017","Norte","PA","1502202",3195.162,4942.193
"2017","Norte","PA","1502202",1442.024,2455.194
"2017","Norte","PA","1502301",1474.709,2683.879
"2017","Norte","PA","1502301",1735.859,3190.498
"2017","Norte","PA","1502301",1273.211,2299.732
"2017","Norte","PA","1502400",4088.298,4151.794
"2017","Norte","PA","1502400",4157.109,4220.927
"2017","Norte","PA","1502400",3517.2,3577.077
"2017","Norte","PA","1502509",2502.273,3020.275
"2017","Norte","PA","1502509",2591.759,2975.016
"2017","Norte","PA","1502509",2346.737,3111.128
"2017","Norte","PA","1502608",3105.647,3553.961
"2017","Norte","PA","1502608",3179.308,3722.916
"2017","Norte","PA","1502608",2943.535,3207.903
"2017","Norte","PA","1502707",4223.675,4792.868
"2017","Norte","PA","1502707",4272.893,4872.305
"2017","Norte","PA","1502707",3766.134,4089.622
"2017","Norte","PA","1502756",4993.65,6152.544
